Номер КЛАССА,Наименование КЛАССА,Номер БЛОКА,Наименование БЛОКА,КОД,"Наименование КОДА 3-х, 4-х и 5-тизначных рубрик "
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E15-E16  ,Другие нарушения регуляции глюкозы и внутренней секреции поджелудочной железы,E16.1,Другие формы гипогликемии
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E15-E16  ,Другие нарушения регуляции глюкозы и внутренней секреции поджелудочной железы,E16.2,Гипогликемия неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E15-E16  ,Другие нарушения регуляции глюкозы и внутренней секреции поджелудочной железы,E16.3,Увеличенная секреция глюкагона
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E15-E16  ,Другие нарушения регуляции глюкозы и внутренней секреции поджелудочной железы,E16.8,Другие уточненные нарушения внутренней секреции поджелудочной железы
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E15-E16  ,Другие нарушения регуляции глюкозы и внутренней секреции поджелудочной железы,E16.9,Нарушение внутренней секреции поджелудочной железы неуточненное
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E20,Гипопаратиреоз
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E20.0,Идиопатический гипопаратиреоз
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E20.1,Псевдогипопаратиреоз
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E20.8,Другие формы гипопаратиреоза
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E20.9,Гипопаратиреоз неуточненный
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E21,Гиперпаратиреоз и другие нарушения паращитовидной [околощитовидной] железы
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E21.0,Первичный гиперпаратиреоз
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E21.1,"Вторичный гиперпаратиреоз, не классифицированный в других рубриках"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E21.2,Другие формы гиперпаратиреоза
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E21.3,Гиперпаратиреоз неуточненный
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E21.4,Другие уточненные нарушения паращитовидной железы
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E21.5,Болезнь паращитовидных желез неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E22,Гиперфункция гипофиза
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E22.0,Акромегалия и гипофизарный гигантизм
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E22.1,Гиперпролактинемия
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E22.2,Синдром неадекватной секреции антидиуретического гормона
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E22.8,Другие состояния гиперфункции гипофиза
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E22.9,Гиперфункция гипофиза неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E23,Гипофункция и другие нарушения гипофиза
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E23.0,Гипопитуитаризм
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E23.1,Медикаментозный гипопитуитаризм
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E23.2,Несахарный диабет
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E23.3,"Дисфункция гипоталамуса, не классифицированная в других рубриках"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E23.6,Другие болезни гипофиза
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E23.7,Болезнь гипофиза неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E24,Синдром Иценко-Кушинга
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E24.0,Болезнь Иценко-Кушинга гипофизарного происхождения
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E24.1,Синдром Нильсона
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E24.2,Медикаментозный синдром Иценко-Кушинга
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E24.3,Эктопический АКТГ-синдром
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E24.4,"Кушингоидный синдром, вызванный алкоголем"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E24.8,"Другие состояния, характеризующиеся кушингоидным синдромом"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E24.9,Синдром Иценко-Кушинга неуточненный
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E25,Адреногенитальные расстройства
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E25.0,"Врожденные адреногенитальные нарушения, связанные с дефицитом ферментов"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E25.8,Другие адреногенитальные нарушения
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E25.9,Адреногенитальное нарушение неуточненное
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E26,Гиперальдостеронизм
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E26.0,Первичный гиперальдостеронизм
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E26.1,Вторичный гиперальдостеронизм
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E26.8,Другие формы гиперальдостеронизма
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E26.9,Гиперальдостеронизм неуточненный
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E27,Другие нарушения надпочечников
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E27.0,Другие виды гиперсекреции коры надпочечников
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E27.1,Первичная недостаточность коры надпочечников
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E27.2,Аддисонов криз
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E27.3,Медикаментозная недостаточность коры надпочечников
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E27.4,Другая и неуточненная недостаточность коры надпочечников
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E27.5,Гиперфункция мозгового слоя надпочечников
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E27.8,Другие уточненные нарушения надпочечников
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E27.9,Болезнь надпочечников неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E28,Дисфункция яичников
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E28.0,Избыток эстрогенов
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E28.1,Избыток андрогенов
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E28.2,Синдром поликистоза яичников
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E28.3,Первичная яичниковая недостаточность
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E28.8,Другие виды дисфункции яичников
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E28.9,Дисфункция яичников неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E29,Дисфункция яичек
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E29.0,Гиперфункция яичек
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E29.1,Гипофункция яичек
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E29.8,Другие виды дисфункции яичек
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E29.9,Дисфункция яичек неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E30,"Нарушения полового созревания, не классифицированные в других рубриках"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E30.0,Задержка полового созревания
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E30.1,Преждевременное половое созревание
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E30.8,Другие нарушения полового созревания
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E30.9,Нарушение полового созревания неуточненное
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E31,Полигландулярная дисфункция
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E31.0,Аутоиммунная полигландулярная недостаточность
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E31.1,Полигландулярная гиперфункция
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E31.8,Другая полигландулярная дисфункция
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E31.9,"Полигландулярная дисфункция, неуточненная"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E32,Болезни вилочковой железы
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E32.0,Стойкая гиперплазия вилочковой железы
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E32.1,Абсцесс вилочковой железы
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E32.8,Другие болезни вилочковой железы
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E32.9,Болезнь вилочковой железы неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E34,Другие эндокринные нарушения
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E34.0,Карциноидный синдром
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E34.1,Другие состояния гиперсекреции интестинальных гормонов
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E34.2,"Эктопическая гормональная секреция, не классифицированная в других рубриках"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E34.3,"Низкорослость [карликовость], не классифицированная в других рубриках"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E34.4,Конституциональная высокорослость
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E34.5,Синдром андрогенной резистентности
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E34.8,Другие уточненные эндокринные расстройства
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E34.9,Эндокринное расстройство неуточненное
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E35*,"Нарушения эндокринных желез при болезнях, классифицированных в других рубриках"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E35.0*,"Нарушения щитовидной железы при болезнях, классифицированных в других рубриках"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E35.1*,"Нарушения надпочечников при болезнях, классифицированных в других рубриках"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E20-E35  ,Нарушения других эндокринных желез,E35.8*,"Нарушения других эндокринных желез при болезнях, классифицированных в других рубриках"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E40-E46  ,Недостаточность питания,E40,Квашиоркор
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E40-E46  ,Недостаточность питания,E41,Алиментарный маразм
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E40-E46  ,Недостаточность питания,E42,Маразматический квашиоркор
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E40-E46  ,Недостаточность питания,E43,Тяжелая белково-энергетическая недостаточность неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E40-E46  ,Недостаточность питания,E44,Белково-энергетическая недостаточность умеренной и слабой степени
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E40-E46  ,Недостаточность питания,E44.0,Умеренная белково-энергетическая недостаточность
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E40-E46  ,Недостаточность питания,E44.1,Легкая белково-энергетическая недостаточность
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E40-E46  ,Недостаточность питания,E45,"Задержка развития, обусловленная белково-энергетической недостаточностью"
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E40-E46  ,Недостаточность питания,E46,Белково-энергетическая недостаточность неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E50,Недостаточность витамина А
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E50.0,Недостаточность витамина А с ксерозом конъюнктивы
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E50.1,Недостаточность витамина А с бляшками Бито и ксерозом конъюнктивы
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E50.2,Недостаточность витамина А с ксерозом роговицы
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E50.3,Недостаточность витамина А с изъязвлением роговицы и ксерозом
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E50.4,Недостаточность витамина А с кератомаляцией
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E50.5,Недостаточность витамина А с куриной слепотой
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E50.6,Недостаточность витамина А с ксерофтальмическими рубцами роговицы
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E50.7,Другие глазные проявления недостаточности витамина А
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E50.8,Другие проявления недостаточности витамина А
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E50.9,Недостаточность витамина А неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E51,Недостаточность тиамина
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E51.1,Бери-бери
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E51.2,Энцефалопатия Вернике
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E51.8,Другие проявления недостаточности тиамина
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E51.9,Недостаточность тиамина неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E52,Недостаточность никотиновой кислоты [пеллагра]
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E53,Недостаточность других витаминов группы В
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E53.0,Недостаточность рибофлавина
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E53.1,Недостаточность пиридоксина
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E53.8,Недостаточность других уточненных витаминов
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E53.9,Недостаточность витаминов группы В неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E54,Недостаточность аскорбиновой кислоты
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E55,Недостаточность витамина D
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E55.0,Рахит активный
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E55.9,Недостаточность витамина D неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E56,Недостаточность других витаминов
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E56.0,Недостаточность витамина Е
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E56.1,Недостаточность витамина К
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E56.8,Недостаточность других витаминов
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E56.9,Недостаточность витаминов неуточненная
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E58,Алиментарная недостаточность кальция
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E59,Алиментарная недостаточность селена
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E60,Алиментарная недостаточность цинка
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E61,Недостаточность других элементов питания
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E61.0,Недостаточность меди
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E61.1,Недостаточность железа
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E61.2,Недостаточность магния
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E61.3,Недостаточность марганца
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E61.4,Недостаточность хрома
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E61.5,Недостаточность молибдена
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E61.6,Недостаточность ванадия
4,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ", E50-E64  ,Другие виды недостаточности питания,E61.7,Недостаточность многих элементов питания
